row_index,triplet,left_graph,right_graph,heldout_graph,sample_size,sample_id,sampling_strategy,threeway_nodes,threeway_csv,graph_a,graph_b,graph_c,graph_a_nodes_in_raw,graph_b_nodes_in_raw,graph_c_nodes_in_raw,graph_a_duplicate_nodes,graph_b_duplicate_nodes,graph_c_duplicate_nodes,graph_a_edges_no_self_loops,graph_b_edges_no_self_loops,graph_c_edges_no_self_loops,iso_graph_a_b,iso_graph_a_c,iso_graph_b_c,raw_directed_induced_threeway_isomorphic_no_self_loops,graph_a_weak_components,graph_a_largest_weak_component,graph_a_isolated_nodes_weak,graph_a_largest_weak_ratio,graph_a_strong_components,graph_a_largest_strong_component,graph_a_largest_strong_ratio,graph_b_weak_components,graph_b_largest_weak_component,graph_b_isolated_nodes_weak,graph_b_largest_weak_ratio,graph_b_strong_components,graph_b_largest_strong_component,graph_b_largest_strong_ratio,graph_c_weak_components,graph_c_largest_weak_component,graph_c_isolated_nodes_weak,graph_c_largest_weak_ratio,graph_c_strong_components,graph_c_largest_strong_component,graph_c_largest_strong_ratio,weak_components,largest_weak_component,isolated_nodes_weak,largest_weak_ratio,strong_components,largest_strong_component,largest_strong_ratio,edges_no_self_loops
28,manc_1.2.1|maol_1.1|mcns_0.9,manc_1.2.1,maol_1.1,mcns_0.9,20000,high_degree_bfs_seed1,high_degree_bfs,498,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_manc_1.2.1--maol_1.1--mcns_0.9__pair_manc_1.2.1__maol_1.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,manc_1.2.1,maol_1.1,mcns_0.9,1,1,1,0,0,0,453,453,453,1,1,1,1,154,278,118,0.558233,438,33,0.066265,154,278,118,0.558233,440,33,0.066265,154,278,118,0.558233,441,33,0.066265,154,278,118,0.558233,438,33,0.066265,453
29,manc_1.2.1|maol_1.1|mcns_0.9,manc_1.2.1,mcns_0.9,maol_1.1,20000,high_degree_bfs_seed1,high_degree_bfs,391,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_manc_1.2.1--maol_1.1--mcns_0.9__pair_manc_1.2.1__mcns_0.9__heldout_maol_1.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,manc_1.2.1,mcns_0.9,maol_1.1,1,1,1,0,0,0,385,385,385,1,1,1,1,119,226,86,0.578005,331,28,0.071611,119,226,86,0.578005,331,28,0.071611,119,226,86,0.578005,331,28,0.071611,119,226,86,0.578005,331,28,0.071611,385
30,manc_1.2.1|maol_1.1|mcns_0.9,maol_1.1,mcns_0.9,manc_1.2.1,20000,high_degree_bfs_seed1,high_degree_bfs,413,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_manc_1.2.1--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,maol_1.1,mcns_0.9,manc_1.2.1,1,1,1,0,0,0,460,460,460,1,1,1,1,78,300,62,0.726392,357,42,0.101695,78,300,62,0.726392,357,42,0.101695,78,300,62,0.726392,355,42,0.101695,78,300,62,0.726392,357,42,0.101695,460
31,banc_626|fafb_783|manc_1.2.1,banc_626,manc_1.2.1,fafb_783,21000,high_degree_bfs_seed1,high_degree_bfs,909,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--fafb_783--manc_1.2.1__pair_banc_626__manc_1.2.1__heldout_fafb_783.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__fafb_783.threeway_nodes.csv,banc_626,manc_1.2.1,fafb_783,1,1,1,0,0,0,621,621,621,1,1,1,1,374,289,271,0.317932,842,17,0.018702,374,289,271,0.317932,844,17,0.018702,374,289,271,0.317932,842,17,0.018702,374,289,271,0.317932,842,17,0.018702,621
32,banc_626|fafb_783|manc_1.2.1,fafb_783,manc_1.2.1,banc_626,21000,high_degree_bfs_seed1,high_degree_bfs,803,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--fafb_783--manc_1.2.1__pair_fafb_783__manc_1.2.1__heldout_banc_626.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__banc_626.threeway_nodes.csv,fafb_783,manc_1.2.1,banc_626,1,1,1,0,0,0,606,606,606,1,1,1,1,296,377,247,0.469489,733,18,0.022416,296,377,247,0.469489,733,18,0.022416,296,377,247,0.469489,733,18,0.022416,296,377,247,0.469489,733,18,0.022416,606
33,banc_626|fafb_783|manc_1.2.1,banc_626,fafb_783,manc_1.2.1,21000,high_degree_bfs_seed1,high_degree_bfs,849,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--fafb_783--manc_1.2.1__pair_banc_626__fafb_783__heldout_manc_1.2.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,banc_626,fafb_783,manc_1.2.1,1,1,1,0,0,0,594,594,594,1,1,1,1,323,401,248,0.472320,807,23,0.027091,323,401,248,0.472320,807,23,0.027091,323,401,248,0.472320,807,23,0.027091,323,401,248,0.472320,807,23,0.027091,594
34,banc_626|fafb_783|maol_1.1,banc_626,fafb_783,maol_1.1,21000,high_degree_bfs_seed1,high_degree_bfs,890,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--fafb_783--maol_1.1__pair_banc_626__fafb_783__heldout_maol_1.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,banc_626,fafb_783,maol_1.1,1,1,1,0,0,0,1383,1383,1383,1,1,1,1,72,794,55,0.892135,382,495,0.556180,72,794,55,0.892135,382,495,0.556180,72,794,55,0.892135,381,495,0.556180,72,794,55,0.892135,382,495,0.556180,1383
35,banc_626|fafb_783|maol_1.1,banc_626,maol_1.1,fafb_783,21000,high_degree_bfs_seed1,high_degree_bfs,1332,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--fafb_783--maol_1.1__pair_banc_626__maol_1.1__heldout_fafb_783.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__fafb_783.threeway_nodes.csv,banc_626,maol_1.1,fafb_783,1,1,1,0,0,0,1352,1352,1352,1,1,1,1,449,663,359,0.497748,911,401,0.301051,449,663,359,0.497748,911,401,0.301051,449,663,359,0.497748,911,401,0.301051,449,663,359,0.497748,911,401,0.301051,1352
36,banc_626|fafb_783|maol_1.1,fafb_783,maol_1.1,banc_626,21000,high_degree_bfs_seed1,high_degree_bfs,1074,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--fafb_783--maol_1.1__pair_fafb_783__maol_1.1__heldout_banc_626.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__banc_626.threeway_nodes.csv,fafb_783,maol_1.1,banc_626,1,1,1,0,0,0,1213,1213,1213,1,1,1,1,306,675,263,0.628492,682,363,0.337989,306,675,263,0.628492,682,363,0.337989,306,675,263,0.628492,682,363,0.337989,306,675,263,0.628492,682,363,0.337989,1213
37,banc_626|manc_1.2.1|maol_1.1,banc_626,manc_1.2.1,maol_1.1,21000,high_degree_bfs_seed1,high_degree_bfs,796,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--manc_1.2.1--maol_1.1__pair_banc_626__manc_1.2.1__heldout_maol_1.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,banc_626,manc_1.2.1,maol_1.1,1,1,1,0,0,0,473,473,473,1,1,1,1,402,301,334,0.378141,742,31,0.038945,402,301,334,0.378141,741,31,0.038945,402,301,334,0.378141,741,31,0.038945,402,301,334,0.378141,742,31,0.038945,473
