triplet,left_graph,right_graph,heldout_graph,sample_size,sample_id,sampling_strategy,atomic_job_index,pair_rank,pair_returncode,pair_mcs_size,pair_valid,pattern_side,pattern_nodes,pattern_edges,third_returncode,third_mcs_size,third_valid_solution,external_valid_solution,threeway_nodes,threeway_edges,pattern_fully_present,threeway_csv,pair_csv,pair_stdout_log,third_stdout_log
banc_626|fafb_783|mcns_0.9,banc_626,mcns_0.9,fafb_783,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--fafb_783--mcns_0.9__pair_banc_626__mcns_0.9__heldout_fafb_783.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|fafb_783|mcns_0.9,banc_626,fafb_783,mcns_0.9,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--fafb_783--mcns_0.9__pair_banc_626__fafb_783__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|fafb_783|mcns_0.9,fafb_783,mcns_0.9,banc_626,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--fafb_783--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_banc_626.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|manc_1.2.1|mcns_0.9,banc_626,mcns_0.9,manc_1.2.1,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--manc_1.2.1--mcns_0.9__pair_banc_626__mcns_0.9__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|manc_1.2.1|mcns_0.9,banc_626,manc_1.2.1,mcns_0.9,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--manc_1.2.1--mcns_0.9__pair_banc_626__manc_1.2.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.stdout.log,
fafb_783|manc_1.2.1|maol_1.1,fafb_783,maol_1.1,manc_1.2.1,20000,high_degree_bfs_seed1,high_degree_bfs,2,1,0,1164,1,left,1164,2419,0,393,1,1,393,462,0,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__maol_1.1__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_mcis/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__maol_1.1__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.mcs_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__maol_1.1__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.stdout.log,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/third_logs/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__maol_1.1__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.stdout.log
fafb_783|maol_1.1|mcns_0.9,fafb_783,maol_1.1,mcns_0.9,20000,high_degree_bfs_seed1,high_degree_bfs,1,1,0,1164,1,left,1164,2419,0,989,1,1,989,1668,0,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/threeway_node_triplets/triplet_fafb_783--maol_1.1--mcns_0.9__pair_fafb_783__maol_1.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_mcis/triplet_fafb_783--maol_1.1--mcns_0.9__pair_fafb_783__maol_1.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.mcs_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_fafb_783--maol_1.1--mcns_0.9__pair_fafb_783__maol_1.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.stdout.log,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/third_logs/triplet_fafb_783--maol_1.1--mcns_0.9__pair_fafb_783__maol_1.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.stdout.log
fafb_783|manc_1.2.1|mcns_0.9,fafb_783,mcns_0.9,manc_1.2.1,20000,high_degree_bfs_seed1,high_degree_bfs,2,1,0,3636,1,left,3636,5540,0,721,1,1,721,593,0,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_mcis/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.mcs_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.stdout.log,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/third_logs/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.stdout.log
fafb_783|manc_1.2.1|maol_1.1,fafb_783,manc_1.2.1,maol_1.1,20000,high_degree_bfs_seed1,high_degree_bfs,1,1,0,927,1,left,927,1116,0,397,1,1,397,350,0,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__manc_1.2.1__heldout_maol_1.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_mcis/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__manc_1.2.1__heldout_maol_1.1.n20000.high_degree_bfs_seed1.mcs_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__manc_1.2.1__heldout_maol_1.1.n20000.high_degree_bfs_seed1.stdout.log,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/third_logs/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__manc_1.2.1__heldout_maol_1.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.stdout.log
banc_626|maol_1.1|mcns_0.9,maol_1.1,mcns_0.9,banc_626,20000,high_degree_bfs_seed1,high_degree_bfs,3,1,0,1272,1,left,1272,2504,0,807,1,1,807,1227,0,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/threeway_node_triplets/triplet_banc_626--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_banc_626.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__banc_626.threeway_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_mcis/triplet_banc_626--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_banc_626.n20000.high_degree_bfs_seed1.mcs_nodes.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_banc_626.n20000.high_degree_bfs_seed1.stdout.log,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/third_logs/triplet_banc_626--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_banc_626.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__banc_626.stdout.log
