scc_id,size,members,dag_indegree,dag_outdegree,dag_level,external_out_edges,external_in_edges,internal_edges,source_like_score,is_source_scc,is_source_like_hub
41,1,720575941449576782,1,0,5,0,1,0,-2,False,False
42,1,720575941449915229,1,0,5,0,1,0,-2,False,False
43,1,720575941451188346,1,0,5,0,1,0,-2,False,False
44,1,720575941451598919,1,0,5,0,1,0,-2,False,False
45,1,720575941451650631,1,0,5,0,1,0,-2,False,False
46,1,720575941452347561,1,0,5,0,1,0,-2,False,False
47,1,720575941452359081,1,0,5,0,1,0,-2,False,False
48,1,720575941452581033,1,0,5,0,1,0,-2,False,False
49,1,720575941452897449,1,0,5,0,1,0,-2,False,False
50,1,720575941454414061,1,0,5,0,1,0,-2,False,False
51,1,720575941455967213,1,0,5,0,1,0,-2,False,False
52,1,720575941458954822,1,0,5,0,1,0,-2,False,False
53,1,720575941459053638,1,0,5,0,1,0,-2,False,False
54,1,720575941459664580,1,0,5,0,1,0,-2,False,False
55,1,720575941460424659,1,0,5,0,1,0,-2,False,False
57,1,720575941461881028,1,0,5,0,1,0,-2,False,False
59,1,720575941465609046,1,0,5,0,1,0,-2,False,False
60,1,720575941466723350,1,0,5,0,1,0,-2,False,False
61,1,720575941466841878,1,0,5,0,1,0,-2,False,False
62,1,720575941470560267,1,0,5,0,1,0,-2,False,False
63,1,720575941470693643,1,0,5,0,1,0,-2,False,False
64,1,720575941471041856,1,0,5,0,1,0,-2,False,False
65,1,720575941471299959,1,0,5,0,1,0,-2,False,False
66,1,720575941471489088,1,0,5,0,1,0,-2,False,False
67,1,720575941472927328,1,0,5,0,1,0,-2,False,False
69,1,720575941475968030,1,0,5,0,1,0,-2,False,False
70,1,720575941476211998,1,0,5,0,1,0,-2,False,False
71,1,720575941476655156,1,0,5,0,1,0,-2,False,False
72,1,720575941478453122,1,0,5,0,1,0,-2,False,False
73,1,720575941478529955,1,0,5,0,1,0,-2,False,False
74,1,720575941479150415,1,0,5,0,1,0,-2,False,False
75,1,720575941479345376,1,0,5,0,1,0,-2,False,False
76,1,720575941480097443,1,0,5,0,1,0,-2,False,False
77,1,720575941480420003,1,0,5,0,1,0,-2,False,False
78,1,720575941480443299,1,0,5,0,1,0,-2,False,False
79,1,720575941481104070,1,0,5,0,1,0,-2,False,False
80,1,720575941482630842,1,0,5,0,1,0,-2,False,False
81,1,720575941482644934,1,0,5,0,1,0,-2,False,False
83,1,720575941483265734,1,0,5,0,1,0,-2,False,False
84,1,720575941484647174,1,0,5,0,1,0,-2,False,False
85,1,720575941485269645,1,0,5,0,1,0,-2,False,False
86,1,720575941485510978,1,0,5,0,1,0,-2,False,False
87,1,720575941485517122,1,0,5,0,1,0,-2,False,False
88,1,720575941485713414,1,0,5,0,1,0,-2,False,False
89,1,720575941486962896,1,0,5,0,1,0,-2,False,False
90,1,720575941487494096,1,0,5,0,1,0,-2,False,False
91,1,720575941489159374,1,0,5,0,1,0,-2,False,False
92,1,720575941489758951,1,0,5,0,1,0,-2,False,False
94,1,720575941490622153,1,0,5,0,1,0,-2,False,False
95,1,720575941492349360,1,0,5,0,1,0,-2,False,False
96,1,720575941494566014,1,0,5,0,1,0,-2,False,False
97,1,720575941494997632,1,0,5,0,1,0,-2,False,False
98,1,720575941495655111,1,0,5,0,1,0,-2,False,False
99,1,720575941495768960,1,0,5,0,1,0,-2,False,False
100,1,720575941495791232,1,0,5,0,1,0,-2,False,False
101,1,720575941496743497,1,0,5,0,1,0,-2,False,False
102,1,720575941496780001,1,0,5,0,1,0,-2,False,False
103,1,720575941498081353,1,0,5,0,1,0,-2,False,False
104,1,720575941498124513,1,0,5,0,1,0,-2,False,False
105,1,720575941498623305,1,0,5,0,1,0,-2,False,False
106,1,720575941499364321,1,0,5,0,1,0,-2,False,False
107,1,720575941501714571,1,0,5,0,1,0,-2,False,False
108,1,720575941503149803,1,0,5,0,1,0,-2,False,False
109,1,720575941503383639,1,0,5,0,1,0,-2,False,False
110,1,720575941503402178,1,0,5,0,1,0,-2,False,False
111,1,720575941503414359,1,0,5,0,1,0,-2,False,False
112,1,720575941503463362,1,0,5,0,1,0,-2,False,False
113,1,720575941503734210,1,0,5,0,1,0,-2,False,False
114,1,720575941504104130,1,0,5,0,1,0,-2,False,False
115,1,720575941505166245,1,0,5,0,1,0,-2,False,False
116,1,720575941505339452,1,0,5,0,1,0,-2,False,False
117,1,720575941505490085,1,0,5,0,1,0,-2,False,False
